title,category_name,rating,price_gbp,price_inr,in_stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,23.89,2520.395,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,,,1
The Art Forger,Add a comment,3,40.76,4300.179999999999,1
On a Midnight Clear,Add a comment,3,14.07,1484.385,1
The Art Forger,Add a comment,3,,,1
On a Midnight Clear,Add a comment,3,,,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,53.9,5686.45,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,,,1
The Torch Is Passed: A Harding Family Story,Add a comment,1,19.09,2013.995,1
The Torch Is Passed: A Harding Family Story,Add a comment,1,,,1
Wall and Piece,Art,4,44.18,4660.99,1
Wall and Piece,Art,4,,,1
The Dirty Little Secrets of Getting Your Dream Job,Business,4,33.34,3517.3700000000003,1
The Dirty Little Secrets of Getting Your Dream Job,Business,4,,,1
Birdsong: A Story in Pictures,Childrens,3,54.64,5764.52,1
Birdsong: A Story in Pictures,Childrens,3,,,1
The Bear and the Piano,Childrens,1,36.89,3891.895,1
The Secret of Dreadwillow Carse,Childrens,1,56.13,5921.715,1
The Bear and the Piano,Childrens,1,,,1
The Secret of Dreadwillow Carse,Childrens,1,,,1
When We Collided,Contemporary,1,31.77,3351.735,1
When We Collided,Contemporary,1,,,1
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,20.59,2172.245,1
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,,,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,22.6,2384.3,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,,,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,17.93,1891.615,1
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,22.5,2373.75,1
Aladdin and His Wonderful Lamp,Default,3,53.13,5605.215,1
Penny Maybe,Default,3,33.29,3512.095,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,,,1
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,,,1
