title,price_gbp,price_inr,rating
Sapiens: A Brief History of Humankind,54.23,5721.264999999999,5
Set Me Free,17.46,1842.0300000000002,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.595,5
Rip it Up and Start Again,35.02,3694.61,5
Chase Me (Paris Nights #2),25.27,2665.985,5
Black Dust,34.53,3642.915,5
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5
The Four Agreements: A Practical Guide to Personal Freedom,17.66,1863.13,5
The Elephant Tree,23.82,2513.01,5
Sophie's World,15.94,1681.6699999999998,5
Private Paris (Private #10),47.61,5022.855,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.105,5
"We Love You, Charlie Freeman",50.27,5303.485000000001,5
Thirst,17.27,1821.985,5
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,2172.245,5
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,3401.32,5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.855,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5
Join,35.67,3763.1850000000004,5
Sapiens: A Brief History of Humankind,,,5
Set Me Free,,,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,,5
Rip it Up and Start Again,,,5
Chase Me (Paris Nights #2),,,5
Black Dust,,,5
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,,,5
The Four Agreements: A Practical Guide to Personal Freedom,,,5
The Elephant Tree,,,5
Sophie's World,,,5
Private Paris (Private #10),,,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,,,5
"We Love You, Charlie Freeman",,,5
Thirst,,,5
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",,,5
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,,,5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",,,5
Princess Between Worlds (Wide-Awake Princess #5),,,5
Join,,,5
